SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
45,34,1,2,2,0,1,2,,,105,,,,,,,1,T,,,65,,,40,S,ro,20,70,,A,V,33,o,,,,7,10,,9,9,,3,9,8,0,0,,9,9,9,11,,3,12Aa,33100,,,,,,,,,,,,,,,,99,,,,0,,,I,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H,,,,,,,,,,,,,,,,,,,,,,,,,
46,34,1,3,2,1,1,1,94,124,1,,,5,5,,,1,T,,,65,,,40,S,ro,40,80,,A,V,33,o,1,33,12,7,13,A,8,7,3,4,,8,0,0,,9,9,9,11,301,3,12Aa,33110,P48,P68,,,,,,,,,4,5,0,1,1,99,,,,0,,,I,W,,,m,0,1,2,1,2,2,A,*,*,*,2,DE,co,,,,,,,,,,,,2,H,R31AB03,,,R,R,,,,,,,,,,,,,,,,,,,,
47,34,1,9,2,1,1,32,148,398,301,,,5,6,,,1,T,,,65,,,40,S,ro,15,100,,A,V,33,o,1,44,12/21,7,10,A,8,7,6,4,7,7,1,0,,9,9,9,13,312,0,12Aa'',33000,P68,P48,,,,,,,,,4,5,0,1,1,99,,,,0,,,I,W,,,b,1,3,4,4,4,4,A,*,.,.,1235,E,,,,,,,,,,,,,3,H,R31,P29AA,,R,R,,,,,,11.5758,,29.4988,29.2089,81.6085,,,94.2627,2.41400,9.67499,1003.63,7.42528,3.07,733.023,8.75251
48,113,18,2,2,0,1,2,187,139,301,,,,,,,1,T,,,65,,,,S,ve,20,100,,A,V:F,32,o,1,,12,9,10,A,9,7,,4,8,6,0,0,,9,9,9,15,312,0,12Ba,,P67,,,,,,,,,,5,3,0,1,1,99,,,,0,,,I,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,R31,,,R,R,,,,,,,,,,,,,,,,,,,,
49,126,41,1,6,1,1,2,3,1,1,,,4,4,,,6,G,,,52,,,50,W,ly,60,150,,C,O,31,o,1,33,,6,7,A,8,,,4,,4,0,0,,9,9,9,31,202,0,15Ab,29000,R64,bR60,,,,,,,,,5,1,0,2,1,32,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H,P23AB01,,,Gk,P,,,,,,8.94101,117.063,214.158,90.3088,146.307,57.5860,19.0179,23.4746,3.12373,3.41572,304.431,7.26903,2.15,58.7851,3.38065
50,126,40,1,2,1,1,18,148,142,1,,,5,5,113,64,6,G,,,52,,,50,W,ly,50,120,,C,O,31,o,1,45,12,6,7,A,9,6,3,4,7,5,1,0,,9,9,9,31,202,0,15Ab,29110,bP60,bR60,R64,,,,,,,,5,1,0,2,2,32,,,,0,,,W,,,,c,+,4,3,0,0,3,A,.,*,.,3,G,pl,,,,,,,,,,,,3,H,P23AB01,,,Gk,P,,,,,,9.36477,31.4603,18.7081,109.294,166.094,68.1795,7.28066,6.47217,2.56372,0.66802,255.351,6.69298,1.70,35.8699,1.00000
51,132,16,1,2,1,1,1,21,4,1,,,3,2,,,6,G,,,64,,,45,S,lc,30,60,,C,P,43,o,11,,,6,7,P,8,7,2,3,9,2,0,0,3,9,9,9,63,608,0,20Bc06,53213,G63,G43,,,,,,,,,4,1,5,1,1,99,,,,1,,1,IL,,,,m,0,3,2,+,2,3,A,.,*,*,3,M,mo,,,,,,,,,,,,3,H,G14CB02,,,Gk,Gf,GE-1,GE,zzz,0/+,2,,,,,,,,,,,,,,,
52,87,6,4,4,1,1,1,692,711,1,,,7,7,,,1,T,,,61,,,43,W,ro,5,50,,C,R,43,o,1,22,,5,13,A,6,6,3,5,,6,0,0,,9,9,9,11,301,3,12Aa,34000,P47,P48,,,,,,,,,3,4,0,1,2,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H,A30AA,,,Pb,P,,,,,,10.7931,915.191,216.169,41.0195,99.2768,67.1354,127.073,80.3025,3.13550,5.34043,1138.17,7.05893,3.79,250.262,14.1047
53,87,6,2,2,1,1,1,56,17,1,,,4,3,,,6,H,C,,61,,,,,ro,5,20,,C,R,43,o,1,,21,6,8,W,8,6,1,9,,2,0,0,,9,9,9,72,703,0,27Ba05,,P23,P22,,,,,,,,,1,1,4,1,1,99,,,,0,+,2,I,,,,m,0,3,+,0,0,2,A,.,*,.,134,M,mo,,,,,,,,,,,,,H,M09BA04,,,Md,Gm,KW-5,KW,zzz,t,,13.4331,4378.15,786.678,-41.939,26.3014,-26.898,165.334,353.402,7.11634,2.86602,4321.43,6.22201,0.28,319.267,37.0713
54,98,6,2,2,1,1,1,84,64,1,,,4,4,,,2+6,H,,,65,,,45,S,lc,30,100,130,C,P/C,41,o,10,55,01/32,5,13,A,9,7,5,3,7,5,0,0,,9,9,9,16,401,0,12Bd02,33410,P63,P67,,,,,,,,,5,2,5,1,1,16,30,,,0,,,IH,,,,s,1,3,4,3,3,1,A,.,*,.,3,C,mo,,,,,,,,,,,,2,H,R31BA01,,,R,R,,,,,,11.0169,234.186,15.5556,75.8559,137.613,91.4344,32.0061,37.8942,2.45442,4.88907,579.035,7.34453,2.53,107.728,9.30009
55,85,5,1,2,1,1,1,168,153,1,,,5,5,,,7,Z,,,71,,,52,I,lc,10,50,,C,R,43,o,1,22,32,4,6,F,9,4,5,9,1,1,0,0,,9,9,9,74,704,0,29B,18110,G21,,,,,,,,,,1,1,1,1,1,99,,,,0,,,IH,IL,,Z,m,4,2,3,3,1,0,A,*,*,*,135,H,mo,,,,,,,,,,,,2,H,M11BA01,,,Ms,Gm,KW-7,KW,z,t,,31.4313,275.080,8.69947,12.5193,56.8834,-7.7761,55.2506,75.7994,13.4880,0.08727,3033.38,4.09584,0.08,259.250,17.9894
56,40,8,3,2,1,1,1,405,525,1,,,7,7,,,6,G,,,66,,,34,V,ha,5,25,,C,A,32,o,10,11,12,3,5,A,,,3,5,,,0,0,5,9,9,9,92,905,0,38,84000,H42,H43,H47,,,,,,,,3,2,4,1,1,99,,,,0,,,ID,IH,,Z,c,1,4,4,2,2,1,A,.,*,.,123,A,sa,,,,,,,,,,,,5,H,B43A,,,B,B,,,,,,20.5958,407.597,18.6797,72.8378,135.379,82.4710,59.9648,67.3012,9.91139,19.8855,2809.36,4.78391,0.21,469.454,25.3532
57,40,9,1,2,1,1,17,9,1,2,,,1,0,,,6,H,,,64,,,45,S,vm,5,20,40,C,P,32,o,8,15,22,3,5,A,7,6,5,2,7,2,0,0,3,9,9,9,63,605,,,53210,G62,,,,,,,,,,5,1,3,1,,16,30,,,0,+,0,IH,,,,m,0,1,3,+,+,0,A,.,*,.,123,BLM,mo,,,,,,,,,,,,3,H,G15A,,,Gk,Gf,VN-17,VN,x,tttt,,,,,,,,,,,,,,,,
58,40,8,4,2,1,1,13,47,46,1,,,4,4,,,6,G,,,66,,,30,V,ha,15,25,,C,F,32,o,10,,12,3,5,A,3,6,4,6,8,8,0,0,,9,9,9,94,906,,,84000,H43,H47kr,,,,,,,,,3,2,5,1,1,99,,,,0,+c,3,ID,IH,,Z,m,1,1,4,4,2,+,A,.,*,*,123,M,mo,,,,,,,,,,,,5,H,B43AB01,,,B,B,,,,,,20.0578,539.265,18.8411,104.914,147.606,108.224,73.6878,80.1637,8.47137,50.0582,2111.82,5.18337,0.14,479.837,21.1334
59,83,32,2,2,1,1,34,14,219,107,202,,2,6,,,2/4,H,,,64,,,24,S,vm,90,250,,C,V:A,41,o,9,33,21,7,9,W,7,6,5,9,,9,1,0,,9,9,9,44,501,0,17Ba,35210,R28,H28,,,,,,,,,1,5,0,1,1,16,30,,,0,,,I,,,Z,m,3,+,2,3,+,0,A,*,*,*,134,ABDE,mo,,,,,,H,A,K,20,HM,IV,4,H,R32BA,,,R,R,,,,,,14.3340,1669.80,459.265,21.5278,76.9408,40.7633,205.328,229.679,7.54982,35.3605,4830.15,6.73996,0.49,662.868,40.3094
60,83,32,1,2,1,1,4,1240,1379,1,,,9,9,,,2,H,,,64,,,42,S,vm,90,180,,C,A/R,41,o,9,24,12/21,7,13,V,7,,4,8,,,0,0,5,9,9,9,44,505,0,25A,54100,R47,R27,H27,G27,H28,R48,R28,,,,2,4,0,1,2,16,,,,0,,,I1,,,Z,c,3,4,4,4,2,1,A,.,*,*,13,X,mo,,,,,,M,M,N,19,HM,VI,5,H,R32,,,R,R,,,,,,16.4187,2957.30,134.570,18.4408,74.0750,29.8355,129.257,279.022,8.88700,16.0384,5268.61,5.53590,0.34,574.731,42.0767
61,113,9,1,2,1,1,1,336,73,1,,,6,3,,,6,C,H,,64,,,54,I,lc,5,15,,A,R/A,32,o,8,22,23,5,6,A,8,,,4,3,2,0,0,5,9,9,9,75,606,3,30Aa,51120,G62,G42,,,,,,,,,4,1,3,1,1,99,,,,0,,2,I,A,,,s,4,3,4,4,2,1,A,.,*,*,3,M,al,,,,,,,,,,,,5,H,G19AA03,,,Gk,Gc,EB-13,EB,zzz,ttt,,16.5604,105.385,8.14904,89.0852,158.770,43.3234,15.3997,18.3172,4.58550,0.10928,582.920,4.87055,0.57,91.6143,11.0817
62,113,22,4,2,1,1,1,561,446,1,,,7,6,,,8+1,T,,,65,,,40,W,ve,15,45,,D,A+F,32,o,1,22,32,6,13,A,7,6,5,4,6,6,0,0,,9,9,9,13,302,4,13Ab01,34000,P67,,,,,,,,,,5,3,0,1,1,99,,,,0,,,ID,IH,,,s,1,3,4,2,2,3,A,.,*,.,35,DE,sm,,,,,,,,,,,,4,H,A30B,,,Pb,P,KW-15,KW,z,ttt,,11.8221,516.280,19.1796,49.2261,111.199,82.0487,88.9609,45.2598,2.29337,3.17507,847.556,6.26842,4.78,330.383,7.52996
63,113,22,3,2,1,1,1,232,134,1,,,6,5,,,1,T,,,65,,,40,W,ve,30,45,,D,A+F,32,o,1,,32,6,13,A,7,6,3,4,,5,0,0,,9,9,9,15,306,0,12Ba,33310,P48,,,,,,,,,,3,5,0,1,1,99,,,,0,,3,IC,ID,,,s,+,3,3,3,3,3,A,.,*,*,3,DEM,mo,,,,,,,,,,,,,H,A30,,,Pb,P,EB-13,EB,zzz,ttt,,,,,,,,,,,,,,,,
64,113,22,1,2,1,1,12,21,7,1,,,3,3,,,6,H,,,65,,,45,S,ve,30,60,,D,F,32,o,1,,12   ?,6,9,A,8,6,5,3,6,4,0,0,,9,9,9,15,306,,,36110,P67,,,,,,,,,,5,3,0,1,1,21,,,,0,,,I*,,,,m,2,2,4,4,4,2,A,.,*,*,3,D,mo,,,,,,,,,,,,3,H,P13AA02,R31CA,,Gk,P,,,,,,,,,,,,,,,,,,,,
65,121,2,1,2,1,1,14,2,0,2,,,0,0,,,6,H,G,,65,,,45,S,ly,30,60,,C,A,43,o,1,55,11,5,7,A,7,6,4,3,5,2,0,0,4,9,9,9,83,,,,0,99,,,,,,,,,,,,,,,99,,,,0,+,0,ID,IH,,,v,0,1,2,0,1,1,A,.,*,.,13,LM,mo,,,,,,,,,,,,4,H,G15AA01,,,Gk,Gf,GE-1,GE,zzz,0/+,,,,,,,,,,,,,,,,
66,126,35,1,2,1,1,1,1444,1482,1,,,9,9,,,6,H,,,52,,,40,S,ly,10,80,,C,O,31,o,1,13,,4,6,A,,,,,5,,1,0,7,9,9,9,51,613,,,61120,G47,G27,G42,G67,G22,G62,,,,,0,2,3,1,2,99,,,,0,,,W,,,,c,4,4,4,3,2,3,A,.,*,*,135,X,ni,,,,,,,,,,,,7,H,G16,,,Gk,Gc,,,,,,14.3425,1749.26,20.9361,20.6383,77.5227,27.8772,89.1800,103.515,5.96762,1.88308,3013.43,5.47313,0.89,260.407,34.1187
67,126,35,2,2,1,1,32,385,310,108,,,6,6,,,1,T,,,54,,,40,W,ly,4,40,,C,O,31,o,1,,01,5,7,A,7,6,2,,2,3,0,0,,9,9,9,13,303,2,13Aa01,34220,P67,,,,,,,,,,5,3,0,1,1,99,,,,0,,,W,,,,s,0,3,1,0,0,1,A,.,*,.,1,X,sm,,,,,,,,,,,,5,H,A30BA01,,,Pb,P,GE-12,GE,a,tt,,14.0001,206.327,12.7493,57.3927,125.041,82.1713,37.2709,28.8723,2.19247,1.66815,851.501,5.54955,3.53,246.994,7.27030
68,83,5,2,2,1,1,12,156,156,1,,,5,5,,,8,T,,,64,,,,,vm,15,80,,C,A,41,o,6,,12,5,6,A,8,6,2,5,6,6,0,0,,9,9,9,84,806,,,,H69,H63,,,,,,,,,5,0,5,1,1,99,,,,0,,,ID,IH,,,s,+,4,2,+,1,2,A,.,*,.,13,I,sm,,,,,,,,,,,,4,H,R33AA01,S37AC01,,R,R,,,,,,10.2474,253.011,19.2821,79.7450,139.760,94.0296,38.7926,40.6519,3.74895,9.75429,599.968,7.16320,1.43,106.041,9.67664
69,83,5,3,2,0,1,8,,,4,,,,,,,1+8,T,,,64,,,34,S,vm,30,60,,C,A,41,o,1,,01,5,6,A,6,7,6,5,,8,0,0,,9,9,9,,,0,17Ab01,35220,,,,,,,,,,,,,,,,14,30,,,0,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,H,,,,,,,,,,,,,,,,,,,,,,,,,
70,83,5,1,2,1,1,1,1239,1540,1,,,9,9,,,6,H,,,64,,,34,S,vm,60,150,,C,A,41,o,1,24,12,5,6,A,7,,5,5,,8,0,0,7,9,9,9,82,609,0,38Aa07,54200,H48,R48,H47,,,,,,,,3,4,0,1,2,99,,,,0,,,I,,,,c,4,4,4,4,3,1,B,.,*,.,13,A,sa,,,,,,H,A,L,8,G,II,7,H,R33AA,,,R,R,,,,,,13.3202,1179.82,24.2751,48.9993,107.791,101.013,131.740,106.469,5.10112,22.0846,2752.11,6.50684,1.31,454.622,26.2289
71,51,23,1,2,1,1,12,155,120,1,,,5,5,,,6,H,,,65,,,40,S,vs,15,60,,C,F,43,o,1,24,32/12,5,6,A,8,6,3,3,7,2,0,0,4,9,9,9,63,608,,,53213,G63,G43,,,,,,,,,4,1,5,1,1,16,,,,0,,3,IH,IL,,,c,2,4,4,2,2,3,A,.,*,.,13,ABM,al,,,,,,,,,,,,4,H,G15AA01,,,Gk,Gf,KW-7,KW,z,t,,8.84316,125.199,15.3777,99.0601,148.427,62.0326,19.8933,23.0461,2.25852,1.19683,334.371,6.99369,2.07,51.0213,6.67450
72,104,7,1,2,1,1,1,236,128,1,,,6,5,,,1,T,,,65,,,40,V,lc,8,30,,C,R/A,43,o,1,,01,6,10,A,7,7,3,5,5,5,0,0,,9,9,9,13,302,0,12Aa01,33100,P47,,,,,,,,,,3,3,0,1,1,99,,,,0,+,3,IH,,,Z,s,+,3,4,+,2,4,B,.,*,*,13,EM,mo,,,,,,,,,,,,3,H,A30BB01,,,Pb,P,KW-11,KW,z,tt,,12.3191,727.445,22.3050,45.7859,108.553,77.2021,75.8907,48.4779,2.26239,2.81446,929.493,6.11946,4.83,227.109,6.54922
73,126,12,2,2,1,1,1,1033,987,1,,,8,8,,,1,T,,,54,,,40,W,ly,40,90,,C,O,31,o,1,33,01,6,8,A,6,6,4,6,5,,0,0,,9,9,9,13,303,0,13A,34200,P67,P47,,,,,,,,,4,3,0,1,1,99,,,,0,,,W,,,,s,2,2,4,4,2,+,A,.,*,*,13,X,sa,,,,,,,,,,,,4,H,A30BA,,,Pb,P,,,,,,12.2385,592.396,20.2946,46.2010,106.834,81.9778,89.4241,50.6344,2.43663,3.65676,1019.32,6.22120,4.70,363.028,9.25643
74,50,12,1,2,1,1,1,80,59,1,,,6,5,544,75,1,T,,,61,,,40,W,ha,5,20,,C,O,32,o,,,32/12,5,8,A,6,6,2,6,,5,0,0,,9,9,9,12,302,0,13Ab,34210,P47,,,,,,,,,,3,3,0,1,1,99,,,,0,,3,I,A,,Z,c,0,4,4,+,1,2,A,.,*,.,13,M,sm,,,,,,,,,,,,4,H,A30BA02,,,Pb,P,BE-10,BE,zz,tt,,11.8911,611.526,20.4994,44.9485,104.055,78.9031,97.8749,47.3965,2.46669,3.72377,1059.35,6.43652,4.55,355.208,9.33523
75,50,12,2,2,1,1,1,90,137,1,,,7,6,541,62,1,T,,,61,,,40,W,ha,5,15,,C,O,32,o,,,32/12,5,13,A,7,7,2,5,4,4,0,0,,9,9,9,13,303,2,13Aa01,34220,P67,,,,,,,,,,5,3,0,1,1,99,,,,0,,,I,,,,c,0,3,2,0,+,1,A,.,*,.,13,X,co,,,,,,,,,,,,4,H,A30BA,,,Pb,P,,,,,,12.3425,288.920,13.0534,59.5520,108.719,73.3394,31.4458,32.8015,2.21784,1.68600,842.395,6.01894,3.31,182.605,9.45024
76,83,25,1,2,1,1,18,237,128,1,,,6,5,,,2,H,,,65,,,,S,vs,30,90,,C,A,41,o,1,,32/12?,7,13,Z,9,6,2,8,7,8,4,0,,9,9,9,33,504,0,17Bb04,,bR20,bR40,,,,,,,,,2,0,0,3,1,6,7,14,16,0,,3,ID,,,Z,s,+,3,1,0,4,4,B,.,*,*,13,CGM,pl,,,,,,,,,,,,,H,R32BA03,,,R,R,KW-7,KW,z,t,,11.4216,2823.42,1856.26,2.06631,56.8765,18.3142,306.670,458.404,6.11457,16.9159,2701.78,7.52863,1.12,445.879,33.8845
77,83,25,2,2,1,1,1,244,109,1,,,6,5,,,6,B,,,13,,,20,S,vs,15,60,,C,A,41,o,1,,12   ?,6,8,W,7,6,2,10,,2,0,0,,1,2,0,42,6,3,05Ca,14110,W12,P22,W15,P27,,,,,,,1,2,3,1,1,99,,,,0,,3,I,,,Z,c,+,3,1,0,0,+,A,.,*,.,13,M,co,3,3,4,2,2,,,,,,,,H,M06AC,,,Pn,Gm,KW-6,KW,zz,t,,15.1728,5550.15,613.662,-55.062,-28.012,-35.509,200.376,419.554,7.79639,1.59447,8039.40,5.72777,0.14,658.689,42.7340
78,83,25,4,2,1,1,1,146,173,1,,,5,5,,,6,B,,,14,,,20,S,vs,30,100,,C,A,41,o,1,,12/21,6,9,W,7,8,3,10,,6,1,0,,1,4,0,43,502,0,19Ab,15130,V18,G28,,,,,,,,,1,5,0,1,2,99,,,,0,,,I1,,,Z,m,0,2,1,0,1,2,A,.,*,.,6,CK,sm,,,,,,H,A,D,28,L,XI,2,H,M07AA,,,Mp,Gm,,,,,,13.6083,4430.02,754.133,-26.780,-5.3101,-1.5288,279.471,339.829,7.52482,34.2677,12398.8,6.51305,1.06,1081.68,54.4155
79,83,25,3,2,1,1,1,35,2,1,,,3,2,,,6,B,,,14,,,,S,vs,10,30,,C,A,41,o,1,,,6,10,W,9,6,3,7,7,7,1,0,,9,9,9,22,310,4,11A,,P28,P27,,,,,,,,,1,4,0,1,1,99,,,,1,+,1,I,,,Z,m,0,2,2,0,0,+,A,.,*,.,3,CM,sm,,,,,,,,,,,,,H,G12BA02,,,Gp,Gp,BE-9,BE,zzz,tt,3,,,,,,,,,,,,,,,
80,40,14,1,2,1,1,14,17,7,1,,,4,4,65,54,6,H,,,64,,,40,S,vm,45,60,,C,CAR,43,o,1,,12,5,7,A,6,6,4,4,7,4,0,0,4,9,9,9,94,905,4,31A,84000,H43,,,,,,,,,,3,1,5,1,1,16,,,,0,c,1,IH,,,Z,m,+,3,4,2,1,1,A,.,*,.,123,ADM,mo,,,,,,,,,,,,4,H,S37AC05,Z17AA01,,B,Z,,,,,,17.5922,443.679,15.4976,92.1015,134.012,100.507,70.0561,75.4506,7.31420,32.3541,2035.35,6.09259,0.39,340.593,21.8828
81,44,4,1,2,1,1,1,546,1106,1,,,7,8,,,1+8,T,,,64,,,40,W,lw,5,30,,C,A,43,o,1,33,12,4,5,A,6,6,3,4,4,4,0,0,,9,9,9,62,603,0,20B,52120,P67,,,,,,,,,,5,3,0,1,2,99,,,,0,,,I,,,Z,c,2,4,4,3,3,3,A,.,*,*,13,X,mo,,,,,,,,,,,,6,H,A30BA02,,,Pb,P,,,,,,11.0075,193.668,13.9245,66.9507,123.881,76.2924,13.7843,20.5026,2.39170,2.42066,537.188,6.42641,3.31,95.7331,8.51254
82,44,16,3,4,1,1,1,40,29,1,,,4,3,,,6+2,H,,,64,,,40,S,lw,30,90,,C,A,43,o,9,,,5,6,A,7,5,3,4,8,,0,0,3,9,9,9,63,608,,,53213,G63,,,,,,,,,,5,1,5,1,1,99,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H,P13AA01,,,Gk,P,,,,,,11.1569,133.195,17.0818,99.5788,161.476,75.0549,22.7194,30.4033,5.15469,2.33997,511.425,7.04798,1.22,100.288,5.84543
83,113,38,2,2,1,1,1,209,393,1,,,6,6,,,2,H,,,65,,,40,S,ro,60,150,,C,R,32,o,6,,,7,8,A,9,6,4,5,7,9,0,0,,9,9,9,17,403,2,17Aa01,35110,R48,H48,,,,,,,,,3,5,0,1,1,16,,,,0,,,IH,IL,,Z,s,1,2,4,3,3,2,A,.,*,*,35,E,mo,,,,,,M,M,P,17,H,I,2,H,R31CA,,,R,R,,,,,,13.9391,951.477,27.8374,51.2715,111.982,95.0000,125.570,104.764,5.27705,32.3291,2250.05,6.89948,1.05,411.147,23.9655
84,113,38,3,2,1,1,1,24,12,1,,,3,3,,,2,H,,,65,,,40,S,ro,60,120,,C,P,32,o,6,,,7,9,A,9,5,3,5,,8,0,0,,9,9,9,17,403,2,17Aa02,35110,,,,,,,,,,,,,,,1,99,,,,0,,,I,,,,c,1,4,4,3,3,3,A,.,*,*,3,A,mo,,,,,,,,,,,,2,H,R31AB,,,R,R,,,,,,12.1575,1096.32,25.9248,50.2123,109.175,100.561,149.208,94.8004,2.81364,16.1047,2049.16,6.75243,2.05,504.075,20.2419
86,113,38,4,2,1,1,1,902,1123,1,,,8,8,,,2,H,,,65,,,,S,ro,60,150,,C,P,32,o,6,,03,7,9,A,,,,,,,,,,9,9,9,17,403,2,17Aa02,,,,,,,,,,,,,,,,2,99,,,,0,,,IH,IL,,Z,c,0,2,1,0,0,1,A,.,*,.,6,AC,mo,,,,,,,,,,,,,H,R31,,,R,R,,,,,,14.3074,580.346,26.9961,62.4649,123.923,102.152,85.8747,75.6544,5.20712,21.4592,1278.40,6.75942,1.03,267.696,17.1282
87,113,38,1,2,1,1,1,47,39,1,,,4,4,,,2,H,,,65,,,45,S,ro,50,100,,C,R:P,32,o,6,,,7,9,A,8,5,7,5,8,9,0,0,,9,9,9,17,403,2,17Aa02,35110,G48,,,,,,,,,,3,5,0,1,1,99,,,,0,+,4,I,,,,m,1,+,4,4,2,+,A,.,*,*,3,M,mo,,,,,,,,,,,,,H,R31,,,R,R,,,,,,,,,,,,,,,,,,,,
88,85,4,1,2,1,1,17,4,3,1,,,2,1,,,7,Z,,,71,,,50,I,lw,30,60,,C,A/R,52,r,4,,12,3,4,A,6,,5,3,,2,0,0,,9,9,9,75,705,0,30B,73000,G62,,,,,,,,,,5,1,3,1,1,16,,,,0,,2,IH,,,Z,v,4,1,3,3,1,1,A,*,*,*,135,HM,sa,,,,,,,,,,,,,H,H20AB02,,,Ms,Gc,BE-9,BE,zzz,tt,,,,,,,,,,,,,,,,
89,37,1,1,2,1,1,1,640,849,1,,,7,8,,,1+8,T,,,65,,,50,W,lw,2,25,,C,A,43,o,1,22,01,5,13,A,8,,,4,7,,0,0,,9,9,9,62,,,,30000,P47kr,G63,P67,P63,,,,,,,4,2,5,1,2,99,,,,0,,,I,,,Z,c,1,4,4,4,3,3,A,.,*,*,235,X,ni,,,,,,,,,,,,6,H,,,,,,,,,,,9.11311,187.530,15.9176,78.8786,133.034,65.5381,18.2309,24.7714,2.51524,2.15045,488.286,7.06251,3.00,87.9843,9.09985
90,31,1,1,2,1,1,5,52,41,100,,,4,4,,,6,G,,,65,,,40,S,ro,20,90,,C,F,43,o,1,,12   ?,5,6,A,6,7,3,4,8,8,0,0,,9,9,9,83,804,0,12Ba07,0,R67,R47,,,,,,,,,4,3,0,1,1,16,,,,0,,3,ID,,,Z,m,0,2,2,3,3,2,A,.,*,.,3,DM,co,,,,,,,,,,,,2,H,Z18AA02,R33AA05,,R,Z,,,,,,,,,,,,,,,,,,,,
91,88,1,1,2,1,1,17,267,156,1,,,6,5,,,6,H,,,63,,,56,I,ly,5,50,,C,R,33,o,1,14,01,5,13,Z,8,6,2,6,5,4,6,0,3,9,9,9,33,205,2,24Ab01,26120,zG40,bG40,zG20,bG20,,,,,,,2,0,0,4,1,30,,,,0,,3,I*,,,,c,3,4,3,+,+,+,A,*,*,*,134,BGHM,ni,,,,,,,,,,,,4,H,P27AA01,G26AC,,Gp,Gp,KW-11,KW,z,tt,,9.04914,933.931,2354.93,24.6579,81.9111,31.1406,137.975,140.662,2.87554,2.80892,1021.18,8.03730,3.40,180.794,32.6652
92,44,12,1,2,1,1,34,125,162,109,,,5,5,,,6,H,,,65,,,45,S,lc,60,120,,C,A,43,o,,,12   ?,5,7,A,8,6,3,5,,9,0,0,,9,9,9,17,403,0,17,35110,R48,,,,,,,,,,3,5,0,1,1,14,16,,,0,,,I1,,,Z,s,0,3,4,4,1,0,A,.,*,.,3,E,sm,,,,,,,,,,,,3,H,R31,,,R,R,,,,,,,,,,,,,,,,,,,,
93,113,32,1,2,1,1,1,217,112,1,,,6,4,,,6,H,,,64,,,45,S,lw,20,45,,C,F:U,32,o,8,22,22,6,7,P,9,4,4,5,3,2,0,0,4,9,9,9,75,617,3,30Aa,51120,G42,G41,,,,,,,,,3,1,2,1,1,16,,,,1,+,2,I2,,,Z,m,+,1,3,+,0,+,A,.,*,.,3,BHM,al,,,,,,,,,,,,4,H,G19AA02,,,Gk,Gc,BE-14,BE,zz,ttt,2,20.4555,94.3270,8.91255,75.2138,163.798,27.0266,15.0982,18.0475,6.22165,0.10302,1151.38,4.26672,0.23,180.672,13.6845
